icao24,r,t
3C4A8B,D-ABTK,B744
C058AA,C-GHOZ,B763
AA79A6,N774UA,B772
A8DEDA,N67052,B764
AAEA8C,N802NW,A333
A0D961,N154DL,B763
4006E5,G-VXLG,B744
394A0B,F-GSQL,B77W
4005B9,G-VIIA,B772
400FEB,G-BUUR,ATP
A89D59,N654UA,B763
4006C2,G-VIIP,B772
300174,I-DISA,B772
8003BA,VT-JWH,A332
3C64F9,D-AIGY,A343
AAB202,N789AN,B772
A8DEE0,N67058,B764
A1AA10,N206UA,B772
400678,G-VAST,B744
3C706D,D-ALCM,MD11
AE07BF,63-7979,K35R
4005A5,G-CIVF,B744
A8A4C7,N656UA,B763
A1574E,N186DN,B763
405200,G-OCEG,BE20
400776,G-VIIY,B772
4007F2,G-YMMG,B772
800438,VT-JWJ,A332
00B0BA,ZS-SLD,A342
AA6B9D,N77012,B772
C0054F,C-FCAG,B763
393508,F-GNII,A343
A16228,N189AN,B752
3C64E8,D-AIGH,A343
AE07B2,61-0306,K35R
AA2184,N752AN,B772
AA9F6F,N784AN,B772
7801CD,B-HKE,B744
AA4903,N762AN,B772
400771,G-VIIT,B772
400473,G-MONJ,B752
A3F761,N355AA,B763
3C6564,D-AIKD,A333
A42A05,N368AA,B763
40068A,G-VCED,A320
AB8FD0,N844MH,B764
80043E,VT-JWQ,A332
4005BB,G-VIIC,B772
0D0163,XA-TOJ,B762
A0D1F3,N152DL,B763
AAA125,N784UA,B772
400DB0,G-EZAL,A319
A90A13,N68155,B762
400676,G-VAIR,A343
392F27,F-GLZH,A343
400092,VP-BKZ,GLF5
40073F,G-BYGG,B744
394A08,F-GSQI,B77W
A0D5AA,N153DL,B763
4B16B9,HB-IPT,A319
396446,F-GZCG,A332
400FF3,G-FDZB,B738
400613,G-CIVK,B744
4CA6D7,EI-DSR,A320
A8B9B3,N661UA,B763
89613B,A6-EYF,A332
400773,G-VIIV,B772
400646,G-BTPE,ATP
394A07,F-GSQH,B773
400AED,G-OOBJ,B752
405F0C,G-EZFD,A319
3A266D,F-OJTN,A343
A8B5FC,N660UA,B763
4005BE,G-VIIF,B772
4400B3,OE-LDB,A319
AAFD1F,N807NW,A333
4CA64D,EI-DYK,B738
AD0181,N937UW,B752
3982A8,F-HAVI,B752
A75103,N57016,B772
3C4E43,D-ACRC,CRJ2
C04081,C-FYLC,B738
4840D6,PH-KZD,F70
392F22,F-GLZC,A343
AB5D2C,N831MH,B764
495205,CS-TPE,F100
A4A93B,N4PG,GLF5
400D87,G-TTIE,A321
34311A,EC-KNM,A320
4CA768,EI-EFM,B738
C0174F,C-FIVM,B773
400789,G-CPEV,B752
400804,G-EUPD,A319
400C42,G-EJAR,A319
3C6622,D-AIQB,A320
AAD3C9,N797UA,B772
3C64E6,D-AIGF,A343
4006B3,G-BYGC,B744
400E1D,G-DBLA,B763
8961E6,A6-EYR,A332
4840FC,PH-WXA,F70
AA6B9F,N77014,B772
4CA704,EI-EBG,B738
4CA788,EI-DVJ,A320
C01753,C-FIVQ,B773
4008F8,G-VLIP,B744
400617,G-FCLA,B752
4CA73C,EI-EBT,B738
4010C9,G-FBED,E190
44D2A3,OO-TUC,B763
4004E6,G-DOCH,B734
C0252D,C-FOCA,B763
AA3417,N757AN,B772
4004CF,G-DOCG,B734
400772,G-VIIU,B772
4CA4F2,EI-DPN,B738
4CA4F7,EI-DPT,B738
484558,PH-BGA,B738
4BBC29,TC-OAI,A321
392AE9,F-GKXJ,A320
394524,F-GRJE,CRJ1
449159,OO-DJY,RJ85
4CA4F5,EI-DPR,B738
392F2E,F-GLZO,A343
3C4949,D-ABJI,B735
39CA8D,F-HSUN,B744
400427,G-BNLT,B744
008188,ZS-AOL,GLF5
400474,G-MONK,B752
A1775F,N194DN,B763
4CA64B,EI-DYI,B738
3C6515,D-AIHU,A346
A219E8,N2341S,BE30
896004,A6-EHH,A346
400560,G-DOCZ,B734
40600D,G-EZFI,A319
4CA687,EI-RJH,RJ85
4008B8,G-OOAR,A320
40048F,G-BPEE,B752
3C4AA6,D-ABUF,B763
392AE1,F-GKXB,A320
400925,G-VOGE,A346
4CA766,EI-EFK,B738
3C651A,D-AIHZ,A346
4911AB,CS-DMK,BE40
39572B,F-GVZL,AT72
4009EF,G-TOYC,B733
AE0945,01-0040,B737
400E37,G-JECM,DH8D
400C52,G-OOBL,B763
43C04E,ZZ175,C17
4BD066,TC-TCF,A321
A8AFEC,N659UA,B763
4B16BE,HB-IPY,A319
489543,SP-LKC,B735
A18284,N197DN,B763
4CA6AA,EI-DYW,B738
4CA623,EI-DWW,B738
4CA6A8,EI-DYT,B738
484928,PH-AAX,A320
4006E7,G-BZAV,RJ1H
A5C549,N471EV,B742
4840DC,PH-MCU,MD11
400807,G-CDZL,B738
400CF9,G-JECI,DH8D
4CA62B,EI-RJC,RJ85
4009E4,G-TTOH,A320
40097E,G-EUUC,A320
AB20E7,N816NW,A333
4BAA4C,TC-JRL,A321
A11380,N169DZ,B763
3C4D61,D-ACKA,CRJ9
4B16C8,HB-IQI,A332
A13386,N177DN,B763
AA75EF,N773UA,B772
406091,G-EUYE,A320
400916,G-OJMC,A332
4CA200,EI-DCE,B738
3C658C,D-AILL,A319
400B18,G-JECE,DH8D
4780AA,LN-RPF,B736
4006C4,G-VIIS,B772
AB5365,N829MH,B764
405F0D,G-EZFE,A319
4CA51D,EI-RJN,RJ85
A49569,N395AN,B763
40072E,G-THOO,B733
4006DB,G-OOPE,A321
A4DAB6,N41135,B752
400C0A,G-THOH,B733
461F35,OH-LVH,A319
300061,I-BIXD,A321
4CA2AA,EI-DHW,B738
405B77,G-ECOD,DH8D
4008CB,G-OZBS,A321
AE1461,06-6163,C17
400C4C,G-EZIJ,A319
A99B83,N718TW,B752
400432,G-LSAA,B752
3423C4,EC-JRE,A321
40134E,G-JECZ,DH8D
3944F2,F-GRHS,A319
491258,CS-DRX,H25B
4B1906,HB-JMK,A343
400E4A,G-CDZI,B738
A14872,N182DN,B763
392AEE,F-GKXO,A320
400D91,G-EZAG,A319
A14C29,N183DN,B763
400618,G-FCLB,B752
401106,G-JECW,DH8D
4007E4,G-MIDY,A320
400BDE,G-CDFY,BE20
405F11,G-EZTA,A320
484397,PH-AHX,B763
506C07,S5-AAG,CRJ2
49D0A8,OK-DGM,B734
A146F9,N18112,B752
4CA6FF,EI-EBB,B738
401050,G-JECT,DH8D
4911E2,CS-DOB,BE40
4009C6,G-EUUI,A320
43E753,M-USHY,C441
484367,PH-JFS,PC12
C05843,C-GHLA,B763
400C50,G-EZIN,A319
4CA217,EI-DEF,A320
AA4548,N761AJ,B772
400A6B,G-EZED,A319
AAC981,N7942B,C172
4006C7,G-BZHB,B763
491185,CS-DLE,F2TH
400A26,G-EUUR,A320
4CA117,EI-CPH,A321
3C48B5,D-ABEU,B733
76CE05,9V-SPE,B744
400802,G-EUPB,A319
C02CF1,C-FRAM,B773
400F25,G-MAJX,JS41
400D58,G-VWIN,A346
4009E3,G-TTOG,A320
3D3E19,D-EVTP,P46T
400A57,G-EZNC,A319
4006C3,G-VIIR,B772
06A032,A7-AEB,A333
4843AF,PH-AHQ,B763
405633,G-EZDD,A319
40083C,G-EUPF,A319
A31F09,N30XC,CL30
400875,G-JMCD,B752
A00690,N100VA,EA50
A1A66D,N205UW,B752
400AE4,G-EZEW,A319
4008E0,G-JMAA,B753
C01755,C-FIVS,B773
3C4E06,D-ACPF,CRJ7
C0584F,C-GHLM,A333
400AE7,G-EZEZ,A319
40127A,G-CERZ,SB20
4007B2,G-BZAX,RJ1H
392264,F-GITE,B744
4006C8,G-BZHC,B763
392F34,F-GLZU,A343
AA92FB,N78004,B772
400A0E,G-EUUO,A320
43C07A,ZE705,L101
400B58,G-BTGV,PA34
3C658B,D-AILK,A319
AB4FAE,N828MH,B764
405A4A,G-EUYB,A320
4004CA,G-DOCB,B734
3C4935,D-ABIU,B735
80000C,VT-ESO,B744
A0817F,N13113,B752
A14008,N18TM,GLEX
4403EC,OE-FCB,C510
C051F0,C-GFAT,A310
3C6504,D-AIHD,A346
484056,PH-BFN,B744
4006C1,G-VIIO,B772
C027D1,C-FPCA,B763
A3E213,N3497J,H25B
C078B1,C-GTSI,A310
AA9BB8,N783AN,B772
40087A,G-EUPK,A319
484163,PH-BXK,B738
AA8882,N778UA,B772
A1286C,N174DZ,B763
4951C8,CS-TNH,A320
71025B,473,C130
405F0B,G-EZFC,A319
C02202,C-FMWV,B763
39644A,F-GZCK,A332
3C6509,D-AIHI,A346
400892,G-PJPJ,B735
C06111,C-GKTS,A333
4CA4F4,EI-DPP,B738
3C4ACE,D-ABVN,B744
4692D6,SX-DVV,A320
3E470B,D-ISCH,C25A
394A01,F-GSQB,B77W
400042,VP-CEB,GLEX
43C23F,ZR323,A109
C00800,C-FDAT,A310
4006AB,G-CIVU,B744
8960B4,A6-HRM,B744
405ECE,G-GMED,PAY3
A1F1A0,N224UA,B772
45ACC8,OY-KFH,CRJ9
4006C6,G-BZHA,B763
89607E,A6-EMU,B773
400511,G-BYAI,B752
A059E3,N12109,B752
3C4944,D-ABJD,B735
A13391,N177DZ,B763
A3D75C,N347AN,B763
4007A0,G-WOWB,DH8C
4B1618,HB-IJO,A320
3949EC,F-GSPM,B772
4C8023,5B-DBV,B738
400868,G-NIKO,A321
401079,G-LSAI,B752
4CA268,EI-DHM,B738
4010EB,G-EZBW,A319
3C6512,D-AIHR,A346
C01754,C-FIVR,B773
478390,LN-KKI,B733
342189,EC-JEJ,A321
4004BB,G-MAJS,A30B
C05840,C-GHKX,A333
4008FF,G-WWBB,A332
C04EB6,C-GDUZ,B763
400B45,G-CELJ,B733
AAE2E7,N800LR,H25B
4CA569,EI-DWD,B738
4CA5D9,EI-RJW,RJ85
400E39,G-CELO,B733
400A89,G-YPRS,C550
45D967,OY-VKG,A333
45B655,OY-MRU,B737
800382,VT-JEC,B77W
8003B9,VT-JWG,A332
3D20F6,D-EKSS,M20P
40042D,G-MONS,A30B
440052,OE-LBS,A320
4840E3,PH-KZF,F70
A242A9,N245AY,B762
4006AE,G-CIVX,B744
40083B,G-EUPE,A319
3C4D65,D-ACKE,CRJ9
3C7527,D-AMIG,F900
4C802D,5B-DBZ,B738
A43AEA,N37172,BE30
400927,G-VEIL,A346
4CA20C,EI-DEZ,A319
48436B,PH-BQD,B772
C81053,ZK-SUH,B744
4951CD,CS-TNM,A320
506C19,S5-AAN,CRJ9
3C119D,D-AVRK,RJ85
4005D6,G-OBYD,B763
80043B,VT-JWM,A332
395023,F-GUBD,E145
8003E2,VT-ALJ,B77W
896146,A6-EHC,A345
4CA1B4,EI-DAE,B738
4008A4,G-JMCF,B752
4008F7,G-VGAL,B744
896274,A6-DU3,A139
45C944,OY-RJD,CRJ2
400685,G-VIIM,B772
400A0D,G-VROC,B744
4CA2C0,EI-DLC,B738
449152,OO-DJR,RJ85
C053F6,C-GFUR,A333
394A0A,F-GSQK,B77W
4011D5,G-FBEE,E190
A895EB,N652UA,B763
3C4892,D-ABDR,A320
A826EC,N624US,B742
400C53,G-GTDL,A320
400AFB,G-EUXC,A321
3C6568,D-AIKH,A333
4CA6F1,EI-DSU,A320
4004EC,G-DOCN,B734
400524,G-BNWU,B763
400A5F,G-CELR,B733
0D04B7,XA-MXN,B762
40061B,G-BNWZ,B763
400E30,G-BGFT,PA34
4840F5,PH-BTI,B733
3C666B,D-AISK,A321
4004C8,G-BNLZ,B744
39644C,F-GZCM,A332
400AFA,G-EZSM,A319
471629,HA-LOR,B737
4C8021,5B-DBT,A332
400BE5,G-MEDK,A320
48415E,PH-BXE,B738
3C48A5,D-ABEE,B733
4004E1,G-BNWR,B763
A35B1E,N315TS,B737
30023A,I-FLYD,C560
405518,G-ECOB,DH8D
89604D,A6-EMJ,B772
800386,VT-JEG,B77W
3C656B,D-AIKK,
3C662C,D-AIQL,A320
4BA8F4,TC-JGT,B738
895071,V8-RBJ,B763
C0583A,C-GHKR,A333
4CA1BA,EI-DAI,B738
400515,G-DOCV,B734
405AA5,G-HBOB,EC35
A7F642,N612AX,DC10
461F69,OH-LXH,A320
400B57,G-TTID,A321
394C09,F-GTAJ,A321
400A27,G-CDCX,C750
4CC2A2,TF-FIJ,B752
A7D27A,N603AX,DC10
394A15,F-GSQV,B77W
4CA2A8,EI-DHT,B738
3C4AA4,D-ABUD,B763
A87D48,N646UA,B763
3C6561,D-AIKA,A333
40054F,G-BNWX,B763
A05469,N120HH,B407
4CC269,TF-FIA,B752
4CA224,EI-DCH,B738
4CA259,EI-DHD,B738
A87558,N644NW,B742
0C8002,PZ-TCM,B743
3C4ABA,D-ABUZ,B763
400A58,G-WINA,C560
4CA253,EI-DCS,B738
4019C6,G-BAEM,DR40
3912E0,F-GEXA,B744
43E7A2,M-ROWL,F2TH
43C1C6,ZZ176,C17
ABBB2C,N855NW,A332
40040E,G-BNLO,B744
400DF7,G-JECK,DH8D
3C4AA9,D-ABUI,B763
01010E,SU-KBB,A319
4008AA,G-TOYD,B733
A173A8,N193DN,B763
400F0B,G-VRED,A346
3C4AA5,D-ABUE,B763
02009E,CN-NMC,A320
4006A8,G-CIVR,B744
489541,SP-LKA,B735
478328,LN-ROT,MD82
401042,G-JECS,DH8D
400A8B,G-OBNA,PA34
40104F,G-THOP,B733
4D201F,9H-AEI,A320
400A04,G-CELX,B733
400B26,G-CELF,B733
A95DBA,N702TW,B752
80043C,VT-JWN,A332
A49135,N39364,B763
48436D,PH-BQF,B772
4BD063,TC-TCC,A320
3C6614,D-AIPT,A320
400A8F,G-VSSH,A346
A97282,N708CK,B742
400E13,G-EZAU,A319
401153,G-JECY,DH8D
43E722,M-SAIR,F900
40073D,G-BYGE,B744
400DB1,G-EZAN,A319
484008,PH-MCG,B763
44F424,CH-04,C130
89615A,A6-MRS,B738
A3F80B,N355GW,C172
40067F,G-TCCB,B763
400A68,G-EZEA,A319
4006AD,G-CIVW,B744
4057D0,G-LCYB,RJ85
400A31,G-YAKN,YK52
484009,PH-MCH,B763
4D00C4,LX-LGK,E135
4CA026,EI-CDG,B735
40073C,G-BYGD,B744
400C4A,G-EZIH,A319
4785E2,LN-NOL,B738
3C64EF,D-AIGO,A343
4000EC,VP-BCC,CRJ2
5080E9,UR-GAQ,B733
A87223,N643UA,B763
896109,A6-ECB,B77W
400426,G-BNLS,B744
49D0A7,OK-YAC,A310
A0AA1F,N142AA,C56X
A0A91F,N14121,B752
4CA0BB,EI-CPD,A321
3949ED,F-GSPN,B772
400900,G-WWBD,A332
4841B7,PH-JCT,F70
8960DD,A6-EBV,B77W
C078BF,C-GTSW,A310
400519,G-OOAN,B763
A99F0D,N719SA,GLF4
478341,LN-RPU,B736
A316D1,N2989M,PA32
4D02FD,LX-INS,C56X
39320D,F-GMQN,TRIN
3C6593,D-AILS,A319
501D1F,9A-CTJ,A320
C07C30,C-GVAT,A310
400F31,G-TCXA,A332
75007E,9M-MPQ,B744
AAD981,N799AN,B772
4004C4,G-BNLV,B744
405C10,G-ECOZ,DH8D
495146,CS-TJF,A320
AE145B,06-6157,C17
400D6A,G-CDNK,LJ45
400D62,G-JBIZ,C550
A2A5E7,N27UB,C25B
76CD66,9V-SKF,A388
3C4AC1,D-ABVA,B744
4B19EC,HB-JVG,F100
495204,CS-TPD,F100
AAD780,N798UA,B772
4CA77E,EI-EEA,B738
400803,G-EUPC,A319
4BAA46,TC-JRF,A321
4CA6BB,EI-WXA,RJ85
4B1A53,HB-JZF,A319
468967,SX-BKG,B734
7C4834,VH-OJQ,B744
4BA943,TC-JJC,B77W
516096,4O-AOL,F100
401251,G-EDCL,C25A
4CA5C9,EI-DVF,A320
887801,HS-TGO,B744
400DB3,G-EZAP,A319
43C1C3,ZD952,L101
4A08E5,YR-BGE,B733
4CA1B2,EI-DAC,B738
40531B,G-TJDM,RV6
4D0120,LX-MCV,B744
AA4862,N76153,B762
400ADA,G-OMJC,PRM1
394C07,F-GTAH,A321
C2B3F5,177704,C17
4CA6E4,EI-DST,A320
3944EB,F-GRHL,A319
06A030,A7-ACF,A332
49124C,CS-DRL,H25B
40010D,VP-BSI,GLF5
491256,CS-DRV,H25B
400D30,G-VWKD,A346
4CA4E8,EI-DPD,B738
4BCCE8,TC-SGH,B738
4B18FE,HB-JMC,A343
491308,CS-DXH,C56X
7C4922,VH-OQC,A388
484065,PH-KCG,MD11
A2567A,N25PR,PA30
40107A,G-JECU,DH8D
A5F07F,N482EV,B742
AAA6DD,N786AN,B772
748019,OD-MEB,A332
506C01,S5-AAA,A320
3C6618,D-AIPX,A320
A9F67D,N741CK,B744
43C203,ZD621,H25A
510041,EW-252PA,B735
3949EF,F-GSPP,B772
440047,OE-HTJ,D328
43E75B,M-FIVE,B350
4CA61D,EI-DWP,B738
400E0D,G-CDPT,B763
424118,VP-BKC,A320
A77D88,N582C,TBM7
43E723,M-NEWT,CL30
4CA741,EI-EBZ,B738
400407,G-BNLH,B744
400C46,G-EZIC,A319
4CA73E,EI-EBW,B738
502C41,YL-BBL,B733
4010B7,G-JECV,DH8D
3B77CB,071,CN35
45AD03,OY-KHC,MD82
405E23,G-FDZR,B738
4B38E9,HB-VOJ,H25B
867F68,JA731J,B77W
4054A7,G-FDZE,B738
400551,G-CIVB,B744
4CA264,EI-DHH,B738
3420CA,EC-IXD,A321
4013AF,G-OZBT,A321
A88E0A,N650PL,
4843BC,PH-MCY,MD11
45AC54,OY-KBT,A319
A15B05,N187DN,B763
4005A4,G-BYAW,B752
43E781,M-ONAV,H25B
4B1697,HB-IOL,A321
4004EA,G-DOCL,B734
4692C8,SX-DVH,A320
3C6DC6,D-AKNF,A319
4CA263,EI-DHG,B738
4AC913,SE-RHS,B738
400B4C,G-JECF,DH8D
E4818A,PT-MUB,B77W
4059E4,G-FDZJ,B738
4CA213,EI-DEA,A320
400EFB,G-EZBA,A319
3C6628,D-AIQH,A320
400ADF,G-EZEP,A319
AE021F,85-0027,DC10
4CA245,EI-DCO,B738
49528B,CS-TTK,A319
3C4E44,D-ACRD,CRJ2
40040C,G-BNLM,B744
491262,CS-DSB,FA7X
3C56F0,D-AEWP,B463
899105,B-18719,B744
4783B4,LN-KKP,B733
4009B2,G-VGOA,A346
405F0F,G-EZFG,A319
3C48AD,D-ABEM,B733
49D0AE,OK-XGA,B735
4B17A4,HB-IYU,RJ1H
40075F,G-THOL,B733
4C8025,5B-DBX,B738
4005BA,G-VIIB,B772
484966,PH-BGG,B737
4CA56F,EI-DWJ,B738
400FEA,G-RJXO,E145
4CA6D5,EI-REP,AT72
4492E6,OO-DWF,RJ1H
8961B2,A6-EHE,A346
394723,F-GRZD,CRJ7
3C7206,D-ALPF,A332
3424D4,EC-KDH,A320
A54C49,N440TC,GLF4
43C5CC,XZ936,GAZL
4603C7,OH-BLF,MD90
400541,G-MONX,A320
40041E,G-BNWD,B763
3986E2,F-HBXC,E170
4CA56E,EI-DWI,B738
4012A6,G-SIVR,EXPL
4CA51E,EI-RJS,RJ85
4CA215,EI-DEG,A320
157714,CU-T1254,IL96
4011FA,G-IFIT,PA31
A68DA1,N521LB,
4C800F,5B-DBC,A320
3C4AD3,D-ABVS,B744
398567,F-HBLH,E190
400E38,G-JECN,DH8D
4CA199,EI-CXR,B733
AACC29,N795SA,B742
4402F4,OE-GLY,LJ60
4006B4,G-OBYF,B763
400532,G-VIPI,H25B
40073E,G-BYGF,B744
3C1194,D-AVRB,RJ85
3C6602,D-AIPB,A320
154094,RA-82068,A124
3C4E0C,D-ACPL,CRJ7
4C800E,5B-DBB,A320
440071,OE-LNN,B737
4841A4,PH-KZN,F70
738045,4X-ELE,B744
A96FAC,N707MK,B06
4840D5,PH-KZC,F70
3C662E,D-AIQN,A320
400D9C,G-HAFT,DA42
392AF2,F-GKXS,A320
4400BD,OE-GAA,C560
3E4782,D-ISGW,C525
342195,EC-JGM,A320
40109E,G-MSJF,B737
4007FA,G-YMMO,B772
400A45,G-HRYZ,P28A
4B1A5D,HB-JZP,A319
4015ED,G-ASRW,P28A
A5E6F5,N48HF,C750
400DF4,G-VUEZ,C550
4006E6,G-BZAU,RJ1H
342104,EC-JFH,A320
4951C7,CS-TNG,A320
4CA0D1,EI-CPE,A321
404166,G-ELZY,P28A
400F47,G-VUEM,C501
4951D1,CS-TNQ,A320
4005BC,G-VIID,B772
405B28,G-TDSA,F406
A1ECF5,N223JG,TBM8
400984,G-MAJB,JS41
491183,CS-DLC,F2TH
400E33,G-DAVD,C172
4007ED,G-YMMB,B772
405FE5,G-PGRP,E135
40129E,G-BOYF,S76
780450,B-6113,A332
020002,CN-RMG,B734
45D966,OY-VKF,A332
3C6594,D-AILT,A319
4CA1C1,EI-DAM,B738
4CA6A7,EI-DYS,B738
A7705A,N579FE,MD11
044028,9G-AXB,DC86
3C4B0E,D-ABXN,B733
4057F2,G-FBEJ,E190
45ACC7,OY-KFG,CRJ9
401225,G-BGVN,P28T
48418B,PH-BXP,B739
3CE619,D-COLD,SW4
4007F3,G-YMMH,B772
43C147,ZE701,B461
4057E2,G-PHEW,SR22
3C4A86,D-ABTF,B744
501D1E,9A-CTI,A319
45F425,C-172,CL60
3C664B,D-AIRK,A321
4492E8,OO-DWH,RJ1H
710014,HZ-AIU,B742
3C4926,D-ABIF,B735
400CCB,G-CDLT,H25B
06A03C,A7-AEC,A333
A60A80,N489EV,B742
4690C4,SX-DFD,A343
7101EF,HZ-XY7,A320
400C41,G-EZNM,A319
A37D45,N324B,CL60
A26F98,N256UP,MD11
896050,A6-EMM,B773
495224,CS-TQD,A320
45ACC9,OY-KFI,CRJ9
AB5387,N829NS,H25B
393F0D,F-GPYN,AT45
4BAA48,TC-JRH,A321
43E7BC,M-FPIA,GLF5
4840FD,PH-WXC,F70
489546,SP-LKF,B735
392AF1,F-GKXR,A320
7608B1,AP-BEQ,A310
4007F7,G-YMML,B772
4CA644,EI-DYB,B738
400881,G-MEDE,A320
4911D0,CS-DNP,F2TH
491166,CS-DKF,GLF5
391559,F-GFKZ,A320
4CA6FC,EI-DYY,B738
3C64C1,D-AIFA,A343
AA43F1,N7600S,F900
484075,PH-MCP,MD11
461F34,OH-LVG,A319
4008E1,G-JMAB,B753
400C5C,G-CDKA,SB20
AADF08,N8VB,GLEX
40042C,G-MONR,A30B
4007EA,G-OBYI,B763
405DB1,G-CFJN,DA40
896114,A6-ECM,B77W
A81508,N62MS,GLF5
47837B,LN-RRT,B738
4692C7,SX-DVG,A320
4CA759,EI-DTA,A320
400DAB,G-GDSG,A109
45B646,OY-MRF,B737
400A13,G-EZJY,B737
88001E,HS-TGR,B744
A7D69D,N604FE,MD11
A8C049,N663KK,SR22
8960D7,A6-EBP,B77W
76CEEC,9V-SWL,B77W
4053C4,G-ECOA,DH8D
4403CE,OE-INS,CL60
491306,CS-DXF,C56X
484028,PH-BDP,B733
8960CC,A6-EBE,B77W
A09727,N137WA,DC10
4B1613,HB-IJJ,A320
400932,G-GSSA,B744
449158,OO-DJX,RJ85
3C6309,D-AHXI,B737
3C484A,D-ABBJ,B738
4CA1F2,EI-DAV,B738
471EA5,HA-LPT,A320
00B0F1,ZS-SNG,A346
4CA705,EI-EBH,B738
451E8C,LZ-FBB,A319
A35759,N314TC,H25B
451E8E,LZ-FBD,A320
3C6665,D-AISE,A321
8003E3,VT-ALK,B77W
342541,EC-IXL,SW4
AABBC9,N791AN,B772
3C4E42,D-ACRB,CRJ2
71BF00,HL7700,B772
4CC2A7,TF-FIP,B752
478371,LN-TUM,B737
4009B1,G-EVLN,GLF4
4CA267,EI-DHK,B738
40065D,G-BIKS,B752
4785E4,LN-NOM,B738
40047D,G-OJIB,B752
3C706A,D-ALCJ,MD11
780144,B-HUA,B744
40076D,G-EOMA,A332
400523,G-BNWT,B763
400806,G-CDZM,B738
4CC2AE,TF-FIX,B753
4CA24F,EI-DCW,B738
3C4938,D-ABIX,B735
869144,JA781A,B77W
4004E2,G-BNWS,B763
471627,HA-LON,B736
43E78B,M-JANP,GLEX
868034,JA737J,B77W
A2E9CC,N287UP,MD11
4006AC,G-CIVV,B744
3C706C,D-ALCL,MD11
4780AF,LN-RPH,B736
4CA2FF,EI-DLS,B738
4B16BA,HB-IPU,A319
601849,EZ-A014,B752
400CD7,G-EZIX,A319
04C041,5Y-KYZ,B772
A69072,N522AX,DC10
4CA622,EI-DWV,B738
3CC548,D-CCAA,LJ35
401275,G-MATF,GLF4
3CC9C5,D-CDSF,LJ35
3C6304,D-AHXD,B737
47838F,LN-KKH,B733
45AD15,OY-KHU,MD87
400C09,G-THOG,B733
A810AF,N619FE,MD11
400F36,G-EEBB,S76
C01E90,C-FLOX,B752
00B0BB,ZS-SLE,A342
478391,LN-KKJ,B733
400B8C,G-SAAW,B738
4CA1F4,EI-DAX,B738
484556,PH-BXY,B738
3000C9,I-BIKE,A320
4D2020,9H-AEJ,A319
4785DF,LN-NOQ,B738
C021FC,C-FMWP,B763
449151,OO-DJQ,RJ85
4780B5,LN-KKD,B733
4CA668,EI-RJG,RJ85
780177,B-HXJ,A343
A37EFC,N324UP,B763
A16EC2,N19136,B752
760916,AP-BHV,B77W
80049A,VT-VJP,A332
4B197E,HB-JRA,CL60
A260BC,N252UP,MD11
710034,HZ-AKB,B772
A8886D,N649UA,B763
400756,G-OBYG,B763
4CA593,EI-REL,AT72
89000B,7O-ADT,A332
800498,VT-VJN,A332
3C7062,D-ALCB,MD11
391552,F-GFKS,A320
48416F,PH-KZM,F70
060021,3B-NBJ,A343
34250C,EC-KBX,A319
8960D5,A6-EBN,B77W
896110,A6-ECI,B77W
A4F2EE,N418MC,B744
3C6634,D-AIQT,A320
80043A,VT-JWL,A332
C81882,ZK-OKE,B772
45CE49,OY-SRI,B762
8990D3,B-16703,B77W
3C6599,D-AILY,A319
4005BD,G-VIIE,B772
71BC93,HL7493,B744
3C4D6A,D-ACKJ,CRJ9
4CA285,EI-FXD,AT43
AC6F37,N900AL,GLF4
AAAE4B,N788AN,B772
4CC29F,TF-FIH,B752
7C482A,VH-OJG,B744
495286,CS-TTF,A319
AE014C,63-8025,K35R
4CA2D1,EI-REI,AT72
400CD4,G-EZIU,A319
06A044,A7-AGB,A346
45CE46,OY-SRF,B762
AE0264,60-0355,K35R
76CD69,9V-SKI,A388
3C48B4,D-ABET,B733
468ACB,SX-BVK,A320
89609B,A6-EMW,B773
0100FB,SU-BPY,B752
800387,VT-JEH,B77W
43BE8B,VP-BZS,A320
A39F0D,N332UP,B763
400B8B,G-DLCH,B738
75007C,9M-MPO,B744
400655,G-BIKI,B752
750156,9M-NAA,A319
A5D4AA,N475LC,GLF4
400895,G-BTTO,ATP
76CCD0,9V-SFP,B744
400580,G-DAJC,B763
400C5E,G-CGET,B733
3C7203,D-ALPC,A332
400656,G-BIKK,B752
A31DF5,N30LB,F900
4BA9C3,TC-JNC,A332
39600E,F-GYAO,A321
491167,CS-DKG,GLF5
AA1A16,N750AN,B772
3C4A84,D-ABTD,B744
800462,VT-ALM,B77W
A9B2E9,N724FD,A306
C02205,C-FMWY,B763
AB7376,N837MH,B764
AB7AE4,N839MH,B764
A2AA4A,N271AY,A333
AA9249,N780UA,B772
AA64BA,N769UA,B772
AB15C2,N813NW,A333
4006D0,G-VELD,A343
740524,JY-AID,A342
71003D,HZ-AKK,B772
A67C86,N517MC,B742
3C650E,D-AIHN,A346
3C6501,D-AIHA,A346
45C865,OY-RCE,RJ85
AAD5CA,N798AN,B772
40051C,G-OOOZ,B752
00B0B9,ZS-SLC,A342
3C6566,D-AIKF,A333
4006A9,G-CIVS,B744
A1A2A2,N204UA,B772
04C02F,5Y-KQU,B772
710035,HZ-AKC,B772
A977BB,N709TW,B752
89507D,V8-RBH,B763
A606C9,N488EV,B742
A0E0CF,N156DL,B763
AA8A83,N779AN,B772
040015,ET-ALO,B763
